Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"isolate raft orderers, block 1-way or 2-way messaging, and reconnect",FAB-14293,37875,,Test Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,suryalnvs,scottz,scottz,21/Feb/19 11:28 PM,24/Jul/19 5:49 AM,28/Oct/23 3:05 AM,24/Jul/19 5:49 AM,,,,,,v1.4.1,v2.0.0,,,fabric-quality,,,,,0,raft,,,,"Set up a raft network similar to FAB-14220, but using 3 orderers in 3 different IKS clusters, in different data center locations around the world. This would introduce natural delay/latency, and also allow stopping/starting individual orderers more easily, in different sequences (per FAB_14221).

Using a networking tool, or by modifying linux stack inside an orderer node, disconnect / partition one orderer from the others so it cannot receive msgs from them and they cannot receive messages from it. After awhile, with traffic running, rejoin it and observe it sync up again, catch up, and resume operations without hiccups.

One tool to consider using is [https://istio.io/] to connect, secure, control, and observe services. However, that may be a bit heavy.

Another way to block one-way communications or to fully partition (block 2-way comms) an orderer might be to edit the iptables. For example, find helpful ideas here: [https://www.howtogeek.com/177621/the-beginners-guide-to-iptables-the-linux-firewall/] 

A possibly better alternative might be to manage the network policies; refer to: [https://console.bluemix.net/docs/containers/cs_network_policy.html#network_policies]

Several possible testcase scenarios to try (and we might want to create some separate testtasks):
 # Fully isolate one orderer (non-leader) for 10 secs or a few minutes, and reconnect.
 # Fully isolate one orderer (non-leader), restart the leader to cause a leadership reelection among the other three, reconnect.
 # Fully isolate one orderer (leader) for 10 secs or a few minutes, observe the others elect a new leader; and then reconnect.
 # Block one-way communications FROM an orderer to the others. Try with a follower, and try with the leader. Examine how this might affect consensus. Reconnect full 2-way communications.
 # Block one-way communications TO an orderer from the others. Try with a follower, and try with the leader. Examine how this might affect consensus. Reconnect full 2-way communications. For instance what to look for: if it was the leader, then its heartbeats would continue to go out and reach the other orderers, and thus should prevent them from electing a new leader - but their responses would not reach the leader; since it would not be receiving responses, we would expect it to step down (and stop sending heartbeats, resulting in the others to start a new term election).

 ",,guoger,scottz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-14221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-13538,,,Manual,,Unset,No,,,"1|hzwqro:o",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Pass,,System Test,,(Please add usage information),guoger,scottz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21/Feb/19 11:36 PM;guoger;bq. 3. Partition one orderer (leader) for a few minutes, observe the others elect a new leader; and then rejoin.
also expect leader to step down as follower (return SERVICE_UNAVAILABLE: no raft leader), because it cannot reach quorum

bq. If it was the leader, then its heartbeats would continue to reach the other orderers, and I wonder if this would prevent them from electing a new leader? If so, then the network would effectively halt.
if leader does not receive heartbeat response from quorum for {{ElectionTimeout}}, it voluntarily steps down to follower.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refactor chaincode persistence for crash consistency,FAB-14294,37880,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,ales,wlahti,wlahti,22/Feb/19 12:32 AM,26/Apr/19 10:07 PM,28/Oct/23 3:05 AM,26/Apr/19 10:07 PM,,,,,,v2.0.0,,,,fabric-peer,,,,,0,,,,,The chaincode persistence code currently lacks crash consistency around the metadata and code package files. Note that the metadata (name/version) portion of chaincode persistence may go away by means of an upcoming JIRA. ,,manish-sethi,wlahti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-11237,,,No,,Unset,No,,,"1|i00cuv:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),manish-sethi,wlahti,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"22/Feb/19 12:40 AM;manish-sethi;Thanks [~wlahti] - Adding context to the discussion - https://gerrit.hyperledger.org/r/#/c/29243/10/core/chaincode/persistence/persistence.go@98;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
De-vipererize gossip privdata,FAB-14295,37881,32906,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,hagarm,hagarm,hagarm,22/Feb/19 12:45 AM,06/Apr/19 5:37 PM,28/Oct/23 3:05 AM,25/Feb/19 11:55 PM,,,,,,,,,,fabric-gossip,,,,,0,hygiene,,,,"Inject configuration of privdata via struct, and not through viper getter invocations.

Have the viper config at higher levels.",,hagarm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00cv3:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hagarm,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-1.4,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"22/Feb/19 12:52 AM;hagarm;https://gerrit.hyperledger.org/r/#/c/29442/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove metadata provider interface,FAB-14296,37882,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,btl5037,btl5037,btl5037,22/Feb/19 1:17 AM,23/Feb/19 1:47 AM,28/Oct/23 3:05 AM,23/Feb/19 1:47 AM,,,,,,,,,,,,,,,0,ipm,ipm-planned,,,core/chaincode/platforms contains the metadata interface. This serves no purpose and should be removed.,,btl5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzq7y:r",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),btl5037,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"23/Feb/19 1:47 AM;btl5037;https://gerrit.hyperledger.org/r/c/29447/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add chaincode upgrade to integration tests,FAB-14297,37883,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,wlahti,wlahti,wlahti,22/Feb/19 1:21 AM,07/Mar/19 4:24 PM,28/Oct/23 3:05 AM,07/Mar/19 4:24 PM,,,,,,v2.0.0,,,,,,,,,0,,,,,,,wlahti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-11237,,,No,,Unset,No,,,"1|i00cvb:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),wlahti,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"22/Feb/19 1:45 AM;wlahti;https://gerrit.hyperledger.org/r/c/29444/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable FabToken feature when V2_0 capability is enabled,FAB-14298,37884,,Story,Closed,FAB,Fabric,software,denyeart,,,High,Done,wenjian,wenjian,wenjian,22/Feb/19 1:28 AM,03/Dec/19 3:04 AM,28/Oct/23 3:05 AM,01/Mar/19 1:01 AM,,,,,,,,,,fabric-token,,,,,0,fabtoken,,,,"- Remove V1_4_FABTOKEN_EXPERIMENTAL capability since it was not used in v1.4 . 

- Enable FabToken feature when V2_0 capability is enabled",,wenjian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-11144,,,No,,Unset,No,,,"1|i00cvj:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),wenjian,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-1.4,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"22/Feb/19 5:28 AM;wenjian;CR: https://gerrit.hyperledger.org/r/#/c/29458/;;;","01/Mar/19 1:38 AM;wenjian;V1.4 CR: https://gerrit.hyperledger.org/r/#/c/29714/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
Refactor query CLI functions and add unit tests,FAB-14299,37887,37656,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,wlahti,wlahti,wlahti,22/Feb/19 2:05 AM,30/Mar/19 1:09 AM,28/Oct/23 3:05 AM,30/Mar/19 1:09 AM,,,,,,,,,,fabric-peer,,,,,0,,,,,,,wlahti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-14356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00cw7:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),wlahti,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"27/Feb/19 6:07 AM;wlahti;https://gerrit.hyperledger.org/r/c/29606/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onboarding orderer halts after restart,FAB-14300,37899,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,yacovm,suryalnvs,suryalnvs,22/Feb/19 8:09 AM,04/Mar/19 9:11 PM,28/Oct/23 3:05 AM,23/Feb/19 1:03 AM,v1.4.1,,,,,v1.4.1,v2.0.0,,,fabric-orderer,,,,,0,raft,,,,"Observed:

During testcase FAB-14046, after restarting orderer4:

Orderer4 did not complete the onboarding process; it got stuck trying to pull the next block from other orderers on testorgschannel1.
{quote}{{2019-02-21 22:31:22.960 UTC [orderer.common.cluster.replication] fetchLastBlockSeq -> INFO 056[0m Skipping pulling from orderer1st-ordererorg:7050: minimum requested sequence is 3055 but orderer1st-ordererorg:7050 is at sequence 3054}}
{quote}
Remember, it had already completed pulling all the 3054 blocks for channel1 and was in the middle of pulling blocks for channel2 when it was restarted.

Remember, traffic had stopped before the onboarding started, and therefore no new blocks were added to channel1 since before orderer4 was restarted.

It appears orderer4 mistakenly halts itself until it can retrieve at least one more NEW block for channel1 from one of the other orderers before it can proceed.

To test this theory, with the orderer4 stuck in this state, repeatedly printing logs indicating it could not pull a block for channel1 from other orderers, we broadcasted one more transaction to channel1, and a block was committed on the other 3 orderers, and orderer4 immediately pulled it and completed with channel1, and then resumed pulling blocks from where it had left off for channel2, block 385, and completed onboarding.
{quote}2019-02-21 22:53:31.573 UTC [orderer.common.cluster.replication] pullBlocks -> INFO 9ac[0m Got block 3055 of size 15KB from orderer1st-ordererorg:7050

2019-02-21 22:53:31.607 UTC [orderer.common.cluster] appendBlock -> INFO 9ae[0m Committed block 3055 for channel testorgschannel1
2019-02-21 22:53:31.607 UTC [orderer.common.cluster] PullChannel -> INFO 9af[0m Pulling channel testorgschannel2

2019-02-21 22:53:31.630 UTC [orderer.common.cluster.replication] obtainStream -> INFO 9bd[0m Sending request for block 385 to orderer1st-ordererorg:7050
{quote}
Therefore, we believe that the onboarding would complete successfully with no problems if we repeat the test with traffic running the entire time.

FYI: We restarted orderer4 again before it finished, and the same thing happened.",,kchristidis,scottz,suryalnvs,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-14046,,,,,,,"22/Feb/19 8:08 AM;suryalnvs;FAB-14046-orderer4-logs.zip;https://jira.hyperledger.org/secure/attachment/16855/FAB-14046-orderer4-logs.zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,5937ae4,Unset,No,,,"1|i00cyf:",,,,Unset,Unset,,,,Follow the steps described in FAB-14046,,Unset,,,,,,Unset,,Unset,,(Please add usage information),kchristidis,scottz,suryalnvs,yacovm,,,,,,,,mergify/bp/release-2.2/pr-4374,release-1.4,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"22/Feb/19 6:07 PM;yacovm;nice find :)

 

[https://gerrit.hyperledger.org/r/#/c/29477/];;;","23/Feb/19 1:16 AM;kchristidis;[~suryalnvs]: Once you've re-run the test, please confirm that we're good. Otherwise, re-open. Thanks.;;;","24/Feb/19 4:00 PM;suryalnvs;Successfully verified that onboarding orderer was able to proceed by skipping the already pulled channel blocks. Reran test with commit 57ae9a784.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Enable i18n support,FAB-14302,37902,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,,baohua,baohua,22/Feb/19 5:00 PM,23/Jan/20 7:32 AM,28/Oct/23 3:05 AM,23/Jan/20 7:32 AM,,,,,,,,,,,,,,,0,stale-item,,,,1. The log msg should support multiple languages.,,baohua,binhn,stone-ch,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00cz3:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,binhn,stone-ch,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23/Jan/20 7:32 AM;sykesm;Stale;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
 fix wrong description,FAB-14304,37904,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,ping40,ping40,22/Feb/19 6:20 PM,08/Mar/19 7:18 PM,28/Oct/23 3:05 AM,08/Mar/19 7:18 PM,,,,,,v2.0.0,,,,,,,,,0,,,,,"1:
{code:java}
// Initialize trans as valid here, then set invalidation reason code upon invalidation below
	txsfltr := ledgerUtil.NewTxValidationFlags(len(block.Data.Data))
{code}
""Initialize trans as valid here "" should  change to ""Initialize trans as not_validated here""

 

2:
{code:java}
// InitBlockMetadata copies metadata from one block into another
func InitBlockMetadata(block *cb.Block) {
{code}
""// InitBlockMetadata copies metadata from one block into another""  is wrong.

 

 ",,denyeart,ping40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00czj:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),denyeart,ping40,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"25/Feb/19 2:57 PM;denyeart;https://gerrit.hyperledger.org/r/#/c/29478/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabric Peer in minikube Kubernetes does not work with service DNS,FAB-14305,37906,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,,alexvicegrab,alexvicegrab,22/Feb/19 10:56 PM,23/Jan/20 7:34 AM,28/Oct/23 3:05 AM,23/Jan/20 7:34 AM,,,,,,,,,,,,,,,0,stale-item,,,,"Commands such as `peer channel list` will fail with a `context deadline exceeded` when peer address is set to the Kubernetes service (e.g. `peer-hlf-peer:7051`) that points to the peer pod. Other services (e.g. Peer communicating with Orderer service work fine)

All this works correctly as expected on a normal Kubernetes environment.

Initially I assumed the issue was with Minikube's DNS (either kube DNS or Core DNS both failed), but now suspect something is wrong with how the peer interacts with the Minikube service discovery.",,alexvicegrab,mastersingh24,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00czz:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),alexvicegrab,mastersingh24,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23/Feb/19 8:04 PM;mastersingh24;Which version of Fabric are you using?  And can you turn on gRPC debug logging:

{code:java}
CORE_LOGGING_GRPC=debug peer channel list ...
{code}
;;;","28/Feb/19 8:20 AM;alexvicegrab;I was using Fabric 1.3, all logging should have been at debug. I will retry with the newest Fabric 1.4 and check how this performs, and what logs I get back.;;;","23/Jan/20 7:34 AM;sykesm;Stale;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
