Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Flagged),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Community PR: VCX support protocol version config,IS-963,33858,,Task,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,sergey.minaev,burdettadam,burdettadam,19/Sep/18 2:34 AM,24/Oct/18 5:02 PM,28/Oct/23 2:49 AM,24/Oct/18 5:02 PM,,,,,,,,0,,,,,"LibVCX can work with protocol-version 2 but the agency that an agent connects to connects to the Sovrin test network which is currently protocol version 1.In order to connect to the STN with VCX then the protocol version needs to be 1, at the moment it is  hardcoded to 2.",,,,,,,,,,,,,,,,,,,,,IS-965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,"1|hzwvvz:",,,,Unset,Unset,EV 18.21,,,,,,,,,,,,,,,,,,,,,,,,(Please add steps to reproduce),2.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),burdettadam,gudkov,,,,,,,,,,"21/Sep/18 7:15 PM;gudkov;added pull request #1138 ( https://github.com/hyperledger/indy-sdk/pull/1138 )
regarding this;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[WIP ][VCX] Getting started guide,IS-964,33859,,Bug,Complete,IS,Indy SDK,software,resplin,,,Medium,Invalid,,burdettadam,burdettadam,19/Sep/18 2:34 AM,30/Mar/19 5:57 AM,28/Oct/23 2:49 AM,30/Mar/19 5:57 AM,,,,,,,,0,,,,,Signed-off-by: Darko Kulic <darko.kulic@evernym.com>,,,,,,,,,,,,,,,,,,,,,,,,,IS-935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,"1|hzzrcv:",,,,Unset,Unset,,,,,,,,,,,,,,,,,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),burdettadam,gudkov,,,,,,,,,,"21/Sep/18 7:12 PM;gudkov;It is dupplicate for IS-935;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libvcx: protocol version hardcoded,IS-965,33860,,Bug,Complete,IS,Indy SDK,software,resplin,,,Medium,Invalid,,burdettadam,burdettadam,19/Sep/18 2:34 AM,30/Mar/19 5:57 AM,28/Oct/23 2:49 AM,30/Mar/19 5:57 AM,,,,,,,,0,,,,,The Protocol version is hardcoded to 2`match Pool::set_protocol_version(2)`This means that you cannot connect to the Sovrin testnetwork which is version 1.If you want to use VCX you have to be connected to the STN.So this version should be defaulted to 1 and be possible to change based on the vcx config.,,,,,,,,,,,,,,,,,,,,,,,,,IS-963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,"1|hzzrd3:",,,,Unset,Unset,,,,,,,,,,,,,,,,,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),burdettadam,gudkov,,,,,,,,,,"20/Sep/18 12:52 AM;burdettadam;added pull request #1138 ( https://github.com/hyperledger/indy-sdk/pull/1138 )
regarding this;;;","21/Sep/18 7:16 PM;gudkov;Duplicates IS-963;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
[WIP] Multi-thread libindy for CPU expensive calls,IS-966,33861,,Bug,Complete,IS,Indy SDK,software,resplin,,,Medium,Invalid,,burdettadam,burdettadam,19/Sep/18 2:34 AM,30/Mar/19 5:57 AM,28/Oct/23 2:49 AM,30/Mar/19 5:57 AM,,,,,,,,0,,,,,HIPE about [multi-threading in libindy](https://github.com/hyperledger/indy-hipe/tree/master/text/0012-concurrency-improvement).,,,,,,,,,,,,,,,,,,,,,,,,,IS-899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,"1|hzzrdb:",,,,Unset,Unset,,,,,,,,,,,,,,,,,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),burdettadam,gudkov,,,,,,,,,,"21/Sep/18 7:18 PM;gudkov;Duplicates IS-899;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community PR: move Endpoint to API because type safety,IS-967,33862,,Task,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,zhigunenko.dsr,burdettadam,burdettadam,19/Sep/18 2:34 AM,22/Oct/18 4:31 PM,28/Oct/23 2:49 AM,22/Oct/18 4:31 PM,,,,,,,,0,,,,,Signed-off-by: Axel Nennker <axel.nennker@telekom.de>- enhance type safety- easier to read api for api usersIn the future add endpoint validity checks to Endpoint::new so the code fails early if an invalide endpoint is passed into the Indy api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,"1|hzwvd3:",,,,Unset,Unset,EV 18.21,,,,,,,,,,,,,,,,,,,,,,,,(Please add steps to reproduce),1.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),Artemkaaas,burdettadam,ignisvulpis,zhigunenko.dsr,,,,,,,,"20/Sep/18 5:28 PM;ignisvulpis;PR is here: https://github.com/hyperledger/indy-sdk/pull/1132;;;","22/Oct/18 3:05 PM;Artemkaaas;Build version: master-800;;;","22/Oct/18 4:31 PM;zhigunenko.dsr;*Reason to Close:*
No additional tests are required. All autotests were passed successfully.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
Community PR: validate_did is static,IS-968,33863,,Task,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,,burdettadam,burdettadam,19/Sep/18 2:34 AM,24/Oct/18 7:50 PM,28/Oct/23 2:49 AM,24/Oct/18 7:50 PM,,,,,,,,0,,,,,Signed-off-by: Axel Nennker <axel.nennker@telekom.de>By turning validate_did into a static method the crypto_services variable is not needed any more and are deleted by this PR where possible.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,"1|hzwvdb:",,,,Unset,Unset,EV 18.21,,,,,,,,,,,,,,,,,,,,,,,,(Please add steps to reproduce),1.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),burdettadam,gudkov,ignisvulpis,,,,,,,,,"20/Sep/18 5:27 PM;ignisvulpis;PR is here: https://github.com/hyperledger/indy-sdk/pull/1122

 ;;;","24/Oct/18 7:49 PM;gudkov;I am concerned about having static functions in a service layer as they contradict with the most of patterns for dependency injection and mocking. We don't use it too much for now, but can switch later.

Also we will start usage of different types of DIDs in the near future. As a result we will need access to service state to get correct handler and will need to return back to instance method approach.

I suggest the following:

1. We can keep the code as is.
2. We can move validate method to /utils/did.rs and use it.

Personally i am in favor of approach (1) as the current PR doesn't solve real problems, but can introduce complexity in the future refactorings.

[~ignisvulpis] I am closing this for now. if you still think that approach (2) is significantly better then re-open, but it is better to have it as a new PR.
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community PR: Ledger check json,IS-969,33864,,Task,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,,burdettadam,burdettadam,19/Sep/18 2:34 AM,24/Oct/18 5:45 PM,28/Oct/23 2:49 AM,24/Oct/18 5:45 PM,,,,,,,,0,,,,,Review and merge PR: https://github.com/hyperledger/indy-sdk/pull/1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,"1|hzwvcv:",,,,Unset,Unset,EV 18.21,,,,,,,,,,,,,,,,,,,,,,,,(Please add steps to reproduce),1.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),burdettadam,gudkov,,,,,,,,,,"24/Oct/18 5:45 PM;gudkov;PR was closed ;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCX NodeJS Wrapper: Known High Severity Security Vulnerability in 'lodash',IS-970,33865,,Bug,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,,burdettadam,burdettadam,19/Sep/18 2:34 AM,11/Oct/18 9:22 PM,28/Oct/23 2:49 AM,11/Oct/18 9:02 PM,,,,,,,,0,,,,,The GitHub security has found the following issue:We found a potential security vulnerability in a repository for which you have been granted security alert access in hyperledeger/indy-sdkKnown  high severity security vulnerability detected in lodash <4.17.5 defined in: https://github.com/hyperledger/indy-sdk/blob/master/vcx/wrappers/node/package-lock.jsonpackage-lock.json update suggested: lodash ~> 4.17.5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,"1|hzwvwn:",,,,Unset,Unset,Ev 18.20,,,,,,,,,,,,,,,,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),burdettadam,gudkov,,,,,,,,,,"20/Sep/18 12:53 AM;burdettadam;vimmerru, Do we have anyone looking at these errors that just came through?;;;","11/Oct/18 8:22 PM;gudkov;Lodash resolves to 4.17.11 in https://github.com/hyperledger/indy-sdk/commit/471f0d658c96c6a980f4af34fe52cd851f38f1f4#diff-094e5fc3d4197049da95089e8a0aa5a4;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCX NodeJS Wrapper: Known Low Severity Security Vulnerability in 'debug',IS-971,33866,,Bug,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,,burdettadam,burdettadam,19/Sep/18 2:34 AM,11/Oct/18 9:22 PM,28/Oct/23 2:49 AM,11/Oct/18 9:02 PM,,,,,,,,0,,,,,The GitHub security scan found the following issue:We found a potential security vulnerability in a repository for which you have been granted security alert access.hyperledger/indy-sdkKnown  low severity security vulnerability detected in debug < 2.6.9 defined in: https://github.com/hyperledger/indy-sdk/blob/master/vcx/wrappers/node/package-lock.jsonpackage-lock.json update suggested: debug ~> 2.6.9.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,"1|hzwvwv:",,,,Unset,Unset,Ev 18.20,,,,,,,,,,,,,,,,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),burdettadam,gudkov,,,,,,,,,,"11/Oct/18 8:19 PM;gudkov;debug was updated to 3.1.0 in https://github.com/hyperledger/indy-sdk/commit/471f0d658c96c6a980f4af34fe52cd851f38f1f4#diff-094e5fc3d4197049da95089e8a0aa5a4;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCX NodeJS Wrapper: Known High Severity Security Vulnerability in 'marked',IS-972,33867,,Bug,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,,burdettadam,burdettadam,19/Sep/18 2:34 AM,09/Nov/18 7:24 PM,28/Oct/23 2:49 AM,07/Nov/18 8:14 PM,,,,,,,,0,TShirt_S,,,,A GitHub security scan identified the following issue:We found a potential security vulnerability in a repository for which you have been granted security alert access.hyperledger/indy-sdkKnown high severity security vulnerability detected in marked <0.3.9 defined in: https://github.com/hyperledger/indy-sdk/blob/master/vcx/wrappers/node/package-lock.jsonpackage-lock.json update suggested: marked ~> 0.3.9.These issues were also found:Known moderate severity security vulnerability detected in marked < 0.3.9 defined in package-lock.json. Known moderate severity security vulnerability detected in marked < 0.3.7 defined in package-lock.json.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,"1|hzwvfj:",,,,Unset,Unset,EV 18.22,,,,,,,,,,,,,,,,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),burdettadam,DouglasWightman,,,,,,,,,,"11/Oct/18 11:00 PM;DouglasWightman;With the latest merge from evernym/sdk these vulnerabilities are resolved:

 
{noformat}
~/dev/indy-sdk/vcx/wrappers/node $ npm audit
 
 === npm audit security report === 
 
found 0 vulnerabilities
 in 260 scanned packages
{noformat};;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCX NodeJS Wrapper: Known Critical Severity in 'growl',IS-973,33868,,Bug,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,,burdettadam,burdettadam,19/Sep/18 2:34 AM,11/Oct/18 9:22 PM,28/Oct/23 2:49 AM,11/Oct/18 9:02 PM,,,,,,,,0,,,,,A GitHub security scan found the following:```We found a potential security vulnerability in a repository for which you have been granted security alert access.hyperledger/indy-sdkKnown critical severity security vulnerability detected in growl < 1.10.0 defined in:https://github.com/hyperledger/indy-sdk/blob/master/vcx/wrappers/node/package-lock.jsonpackage-lock.json update suggested: growl ~> 1.10.0.```,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,"1|hzwvx3:",,,,Unset,Unset,Ev 18.20,,,,,,,,,,,,,,,,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),burdettadam,gudkov,,,,,,,,,,"11/Oct/18 8:16 PM;gudkov;growl was updated to 1.10.5 in https://github.com/hyperledger/indy-sdk/commit/471f0d658c96c6a980f4af34fe52cd851f38f1f4#diff-094e5fc3d4197049da95089e8a0aa5a4;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ErrorCode.LedgerInvalidTransaction,IS-974,33869,,Bug,Complete,IS,Indy SDK,software,resplin,,,Medium,Invalid,,burdettadam,burdettadam,19/Sep/18 2:34 AM,30/Mar/19 5:57 AM,28/Oct/23 2:49 AM,30/Mar/19 5:57 AM,,,,,,,,0,,,,,"Using python version:
Getting error while calling
{noformat}
parse_get_cred_def_response {noformat}
{noformat}
_indy_loop_callback: Function returned error 304
Error occurred: ErrorCode.LedgerInvalidTransaction
{noformat}
 As
{noformat} submit_request{noformat} response data is null
{code:json}
{""result"":{""signature_type"":""CL"",""data"":null,""type"":""108"",""tag"":""governID"",""state_proof"":{""root_hash"":""CAHa6F79nfRe2quf4qdqhNEQj4T2gzFDfJp1yoJr48vq"",""multi_signature"":{""participants"":[""Node4"",""Node2"",""Node3""],""signature"":""QnXzhzzMKeeCtLR5mQ7t13svBMRfFGygzuoH2dxpHpWrDp8you6KyR2aDzWfQ1YdttfN7QshsCgaXi5g1U9MiDfJmtWwSAekD816waf9EG94eni7BjD8pjChzU9a86Dd2xe4mFYDssKqc21wVrSwMYBkMyzo6xfnNiSZiWL59Yvjwd"",""value"":\{""timestamp"":1535264361,""pool_state_root_hash"":""ADNBz2dUcSd2GdKUtEGw2aQCjtqhcQFz1W5DYKYzvcxY"",""state_root_hash"":""CAHa6F79nfRe2quf4qdqhNEQj4T2gzFDfJp1yoJr48vq"",""txn_root_hash"":""8rMnx84d2Yvkn3f5H72qBY9GTrrRfeNgqJSdPmQPMc2K"",""ledger_id"":1}},""proof_nodes"":""+QMo+QERgKAVnj5\/XkTxOz43QLLk7E6SFXQHhviEX5KInw+mqOvypYCAoA2polmma2ST4q\/fsdznOQejkiWoQu64RQX6xcEgVNbTgICAoElXgAjEgDE2OdTvAsIJseMFAaZzzzbOwAf+NoL7flp+oJV5rbFmUQXVZCUwGyRvGOGUlca1vnw\/C6DRlRJPCOqkoLn5igdCRqOvhYpMpC48FCAdCj5YUlhh0fdxiST9EMADoLTBbsJMJR3t8PJvvJyUQTg99A4gqU2Q3IrSBY+jw42roN\/JlMuMa7n6grRe0aDY9QMaVIuEEpSpIaB7CPU5kjTXoILlJ70EBwvft2SHy92Y1iUCsIhh3HYdlh\/xBAk9QiE2gICA+QIRoFibhi6jRo8dsZobdlznDutQqRlPfXF39zqwPjNQiZIZoBlOzJ45WMO9Qo3zODUhI3HANJnrHctZevXR2VuCGO1eoOzh42r38ZiUqLYOgWGupOLqIbNyU3gv7eORbx8zjmBtoIB9QGjXNBJ8P+C9qTbLdPLhgEYlWeZLGIm7yTnu3lxdoCy6AKgXblZdsFHZQh2Psjfivbnuw+Gq6\/B63csz\/w0noFqJA3JwS\/u0bor7MlB8rnLXE8t19NrojAzl6bMCzb4CoLRXRhp4kFp0L+expHeFnZvEkP8w5OgC\/ukSDxyiblHqoPpiBDtA\/6LkofctroljhbH6EodH75zPQOnox1L8yc6QoMZs+4nKOlIuaYlCAZf+zpqBEOoxicwGvmVjsvvYTEtvoLXq1g\/XeYArX9QFdcIpvIp1G8LTPNclRFwogIDMMIaToBXyafzdRyAdNLsyjAPZFsxVA0RF7rKe\/k4g9xv5FhiMoNiH7vqLyyPn0VcWZmIk72o0iVS3dDYdJdw0AaPGoZUAoMU6aJpkrM\/ipERSv5Pk5Cbjepn3oXkAl2bF8ChZ99F0oFsogBtno4zi56NTSydHl9R+LSM\/tqE01JXawKtjve+FoJiIi\/glRQG6F+SwGjSh+MR+gpaFyQYfExYxkWlFM\/kUoFXrn7dfL45kCYFBNWBsOvz4\/bQy\/NnD0A1bCuw5R9QygA==""},""origin"":""VspCEZTw1wnvSybou1TKB4"",""ref"":1,""seqNo"":null,""identifier"":""Th7MpTaRZVRYnPiabds81Y"",""reqId"":1535264371385593370,""txnTime"":null},""op"":""REPLY""}
{code}",,,,,,,,,,,,,,,,,,,,,,,,,IS-932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,"1|hzzrdj:",,,,Unset,Unset,,,,,,,,,,,,,,,,,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),burdettadam,gudkov,,,,,,,,,,"20/Sep/18 1:05 AM;burdettadam;vimmerru says, 
""Yes, for now transaction parsers return LedgerInvalidTransaction when there is no corresponded data on the ledger. We plan to change it in the next sprints.""
See https://jira.hyperledger.org/browse/IS-932;;;","21/Sep/18 7:22 PM;gudkov;Dupplicates IS-932;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Better React-Native support,IS-975,33870,,New Feature,Complete,IS,Indy SDK,software,resplin,,,Medium,Invalid: Works as Expected,,burdettadam,burdettadam,19/Sep/18 2:34 AM,08/Oct/19 10:33 PM,28/Oct/23 2:49 AM,08/Oct/19 10:33 PM,,,,,,,,0,,,,,I'm trying to create a mobile application for android and ios using react-native. I wanted to use the node.js sdk but it needs C++ and python 2. I also looked at the android and IOS sdk but using the android sdk doesn't look like the best option.Any ideas on how to get started?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,"1|hzzrvj:",,,,Unset,Unset,,,,,,,,,,,,,,,,,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),burdettadam,esplinr,gudkov,ptab-pawan,sergey.minaev,,,,,,,"20/Sep/18 1:07 AM;burdettadam;lodo1995 commented, 

My team managed to have libindy work on React Native (both iOS and, partially, Android) some time ago. At that time, official support for Android was not there, so we had to do some magic to cross-compile libindy from source. Nowadays, I think you can just use the official build instructions to build libindy for Android. The official iOS wrapper, on the other hand, was already working, more or less.

Coming to the hard part, you have to write the bindings from Android/iOS native code to React-Native yourself. I won't cover this here, as it is well explained in the official React-Native docs (for both [Android|https://facebook.github.io/react-native/docs/native-modules-android] and [iOS|https://facebook.github.io/react-native/docs/native-modules-ios.html]), but basically, you have to write some Java and Objective-C/Swift code, respectively, to bridge the gap between the native libindy and the interpreted React-Native code. This means that you will have to eject from CRNA and manage the folder structure and build process by yourself.;;;","21/Sep/18 7:26 PM;gudkov;For the moment:

- Libindy provides Objective-C and Java Wrappers
- Libindy provides iOS and Android builds

It is enough to significantly easy create React Native App. We can improve this in the future.

I suggest to re-create this bug to low-priority story and may be as for contribution.
;;;","31/May/19 6:00 PM;ptab-pawan;[~burdettadam] , [~gudkov] : 

I am new to Indy-SDK . I need some clarity to consume libIndy iOS in react native app.  I am able to build libIndy with iOS wrapper . Now I want to make direct calls to Indy by  writing the binding methods using   bridging class .Is there a documentation or good read to kick start on this ? 

I suppose I do not need any AgentFramework or LibVCX library to make Indy calls. As I am unable to build libVCX for iOS? Please correct my understanding.
I followed the instructions in : 
[https://hyperledger-indy.readthedocs.io/projects/sdk/en/latest/vcx/wrappers/ios/README.html]
But get the below error with xcode build or manual steps build : 

ld: library not found for -lvcx
clang: error: linker command failed with exit code 1 (use -v to see invocation)

Used git repos from :
1.[https://github.com/hyperledger/indy-sdk/]
2.[https://github.com/evernym/indy-sdk]
3.[https://github.com/evernym/sdk]

[~gudkov] : When you say Libindy provides iOS and Android builds.I suppose you are referring to [https://repo.sovrin.org/] stable builds ? 

 ;;;","01/Jun/19 12:20 AM;sergey.minaev;[~nsivraj] [~ryanmarsh] could you help [~ptab-pawan]  with react native question?


[~ptab-pawan] regarding builds: yes, most probably Vyacheslav means repo.sovrin.org. You can find there all types of builds (master/rc/stable).;;;","13/Aug/19 7:38 PM;ptab-pawan;[~sergey.minaev] , [~nsivraj]  , [~ryanmarsh]  : user : lodo1995([https://github.com/lodo1995])   is not available  to comment on his approach to get libIndy to  work for react native.

I am facing issues while trying to invoke the  libIndy methods using the react native bridging classes . I am using indy sdk 1.8.2 and in my .gradle : implementation 'org.hyperledger:indy:1.8.2'.Has anyone of you tried to  consume libIndy or libVCX in react native app? Please share your thoughts. 

 

My  second approach is to  use libVCX  and use bridging methods instead. Referring to android libVCX from  :  [https://repo.sovrin.org/android/libvcx/rc/0.4.0-81/] and respective libIndy from :  [https://repo.sovrin.org/android/libindy/rc/1.11.0-81/] 

But if I go with the approach, I wont have a libVCX wrapper for my iOS implementation.  

My requirement is to consume indy in react native cross platform app. If there is a better approach, pour in your suggestions. ;;;","02/Sep/19 10:49 PM;sergey.minaev;[~ptab-pawan] there is opensource example [Sovrin Connector APP|https://github.com/sovrin-foundation/connector-app];;;","08/Oct/19 10:33 PM;esplinr;The open source Sovrin Connector app is the best example to follow.

The issue tracker is not the right place for providing detailed guidance on how to use the libraries. It is best to ask on chat.hyperledger.org, or Stack Overflow.;;;",,,,,,,,,,,,,,,,,,,,,,,
Timeout error when trying the NodeJS How To's,IS-976,33871,,Bug,To Develop,IS,Indy SDK,software,resplin,,,Medium,,,burdettadam,burdettadam,19/Sep/18 2:34 AM,30/Mar/19 6:04 AM,28/Oct/23 2:49 AM,,,,,,,,,0,,,,,"Hello,Im trying to create an indy project in NodeJS and started with the how to's, but I can a PoolLedgerTimeout every time I try to send something to the Sovrin test network.I tried the fix I found on the sovrin forum (https://forum.sovrin.org/t/indyerror-poolledgertimeout-when-connecting-to-sovrin-sandbox-network/820/4) but unfortunately, this doesn't fix my problem. I tried it with a NYM and a claim.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,"1|hzzrdr:",,,,Unset,Unset,,,,,,,,,,,,,,,,,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),burdettadam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cached libraries don't update on new versions,IS-977,33872,,Bug,To Develop,IS,Indy SDK,software,resplin,,,Medium,,,burdettadam,burdettadam,19/Sep/18 2:34 AM,30/Mar/19 6:04 AM,28/Oct/23 2:49 AM,,,,,,,,,0,,,,,"I was having a problem where the updated API meant the python methods were changed (i.e. create_wallet taking two parameters rather than five) when the update was pushed I was having trouble running my code as the cached library in `/home/user/.local/lib/python3.5/site-packages/indy/` was not updated and was still trying to run the deprecated wrapper.**I fixed my issue by copying the updated wrapper into the cached folder.** I am assuming at some point in the installation of the sdk, or in running the python code the cached folder was created, so it might be worth looking into a way to check that this cached folder is either not created or is updated when needed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,"1|hzzrdz:",,,,Unset,Unset,,,,,,,,,,,,,,,,,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),burdettadam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
