Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels_2,Labels_3,Description,Environment,Watchers,Watchers_2,Watchers_3,Log Work,Log Work_2,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks)_2,Inward issue link (Blocks)_3,Outward issue link (Blocks),Outward issue link (Blocks)_2,Outward issue link (Blocks)_3,Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split)_2,Outward issue link (Issue split)_3,Outward issue link (Issue split)_4,Outward issue link (Issue split)_5,Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment_2,Attachment_3,Attachment_4,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Flagged),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint_2,Sprint_3,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team)_2,Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers)_2,Custom field (Watchers)_3,Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch)_2,Custom field (gitBranch)_3,Custom field (gitBranch)_4,Custom field (gitBranch)_5,Custom field (gitBranch)_6,Custom field (gitBranch)_7,Custom field (gitBranch)_8,Custom field (gitBranch)_9,Custom field (gitBranch)_10,Custom field (gitBranch)_11,Custom field (gitBranch)_12,Custom field (gitBranch)_13,Custom field (gitBranch)_14,Custom field (gitBranch)_15,Custom field (gitBranch)_16,Custom field (gitCommitsReferenced),Comment,Comment_2,Comment_3,Comment_4,Comment_5,Comment_6,Comment_7
Prepare latest Iroha performance reports: find a tool that can measure transaction throughput,IR-11,35528,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,,lebdron,neewy,11/22/18 00:50,8/26/19 18:23,1/18/23 07:00,2/11/19 17:45,,1.0 rc5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-16,,,No,,,Unset,No,,,1|i00b5y:r,,,,Unset,Unset,Sprint II,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update iroha.tech website,IR-12,35529,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,SaraG,lebdron,neewy,11/22/18 00:50,8/26/19 18:23,1/18/23 07:00,5/7/19 20:18,,,,0,,,,"We need to update Iroha's website since it seems a little empty. 

The plan for it now is: 
 # Make a research of what could be included into it so the visiter could engage with it more
 # Make a draft of what we could include
 # Collect the suggestions and feedback",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00eue:i,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,"29/Nov/18 1:30 AM;SaraG;Checked out some blockchain projects and think these blocks we must have:

What we definitely need (generally, not yet in order):
 # What is Iroha: Open Source, main features like: easy to build, many libraries (leading to a page with libraries), mobile solutions - anything else you'd like to add? and link to Getting Started guide at the bottom of the page
 # FAQ
 # DOCs
 # GITHUB
 # Projects on Iroha
 # Let’s chat
 # News
 # Examples

[~neewy], what do you think of the scheme? 

I've made a draft site - check it out: iroha.home.blog

It mostly shows the idea of the structure;;;",,,,,,
"Feature freeze: alert community, release rc1.0",IR-13,35530,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,SaraG,lebdron,neewy,11/22/18 00:52,8/26/19 18:23,1/18/23 07:00,12/14/18 19:22,,1.0 rc5,,0,,,,"Knowing that we are approaching release candidate we need to alert everyone everywhere.
Our release notes should include summary on API changes, so that integrators can update their code.

https://telegra.ph/Hyperledger-Iroha-rc10-is-out-11-30
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzzzhz:0htw,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manual review of acceptance tests: transferring tests to testrail tool, reviewing requirements",IR-14,35531,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,neewy,11/22/18 00:54,8/26/19 14:47,1/18/23 07:01,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzzztz:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review Synopsys Coverity issues for rc1.0,IR-15,35532,,Task,Closed,IR,Iroha,software,ekovalev,,,Medium,,Audap,lebdron,neewy,11/22/18 00:56,8/26/19 18:23,1/18/23 07:00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,IR-64,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzzzu7:,,,,Unset,Unset,Iroha Sprint 1,Iroha Sprint 2,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,"06/Dec/18 4:03 PM;neewy;We encountered an issue with Coverity. This task has to be closed and new task should be open, as now Coverity is broken;;;","06/Dec/18 4:04 PM;neewy;Issue split into:
|IR-64|Resolve issue with Coverity issues — their service does not work|
;;;",,,,,
Longevity testing,IR-16,35533,,Epic,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,neewy,11/22/18 00:56,8/26/19 18:23,1/18/23 07:00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-5,,Soak/longevity testing,To Do,No,,,Unset,No,,,1|hzzzuf:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement a prototype of application for performance/load testing,IR-17,35534,,Task,Complete,IR,Iroha,software,ekovalev,,,Highest,Done,lebdron,lebdron,neewy,11/22/18 01:00,8/26/19 18:23,1/18/23 07:00,2/4/19 19:49,,1.0 rc5,,0,,,,"One of important requirements for a software product before its release is to know its mean time to failure and resistance to network loads.

Currently we have a solution with HL Caliper tool, but it is limited to custom logic written in Javascript and it uses blocking API.

[~P.Kotov] has made a brief research of available tools for performance tests. Now the favor is for yandex-tank + pandora custom gun for gRPC tool.

Assignee should be ready to use Java and Go languages (or propose another possible solution/instruments).

https://github.com/yandex/pandora/blob/develop/docs/custom.rst

 https://yandextank.readthedocs.io/en/latest/

This prototype should make clear what is the threshold of degradation rate for throughput (at what point the number of transaction, sent by a client, is too big to handle) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-16,,,No,,,Unset,No,,,1|i00653:,,,,Unset,Unset,Sprint I,Sprint II,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagination for transaction history,IR-18,35581,,Epic,To Do,IR,Iroha,software,ekovalev,,,High,,,lebdron,neewy,11/26/18 15:46,8/26/19 18:23,1/18/23 07:00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-9,,Pagination for transaction history,Done,No,,,Unset,No,,,1|i0003b:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add TransactionPageResponse in shared_model for queries with lists of transactions,IR-19,35582,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Kamil_Salakhiev,lebdron,neewy,11/26/18 15:47,8/26/19 18:23,1/18/23 07:00,11/30/18 18:12,,1.0 rc5,,0,,,,"Get account transactions and Get account asset transactions queries should return TransactionPageResponse which should be defined with the following proto:

message TransactionsResponsePage

{ repeated Transaction transactions = 1; oneof \{string next_tx_hash = 2}; int32 total_transactions = 3; }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-18,,,No,,,Unset,No,,,1|hzzzi0:,,,,Unset,Unset,Iroha Sprint 1,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update schema for queries with lists of transactions (include pagination meta),IR-20,35583,,Task,Complete,IR,Iroha,software,ekovalev,,,High,Done,Mikhail_Boldyrev,lebdron,neewy,11/26/18 15:48,8/26/19 18:23,1/18/23 07:00,12/3/18 16:13,,1.0 rc5,,0,,,,"In order to support pagination it is proposed to update get transactions, get account transactions and get account asset transactions schema as following:

message TxPaginationMeta

{ int32 page_size = 1;

oneof \{string first_hash = 2;}

}

message GetAccountTransactions

{ string account_id = 1; TxPaginationMeta pagination_meta = 2; }

message GetAccountAssetTransactions

{ string account_id = 1; string asset_id = 2; TxPaginationMeta pagination_meta = 3; }

message GetPendingTransactions \{ TxPaginationMeta pagination_meta = 1;}

Shared model object should be updated accordingly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-18,,,No,,,Unset,No,,,1|hzzzi0:i,,,,Unset,Unset,Iroha Sprint 1,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,27/Nov/18 11:57 PM;Mikhail_Boldyrev;https://github.com/hyperledger/iroha/pull/1887;;;,,,,,,
Add pagination logic into SQL queries for GetAccountTransactions,IR-21,35584,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,NikitaAlekseev,lebdron,neewy,11/26/18 15:48,8/26/19 18:23,1/18/23 07:00,12/6/18 15:21,,1.0 rc5,,0,,,,"As GetAccountTransactions query will be updated with pagination logic it will have additional parameters like first tx hash and page size. They should be used in query executor to have pagination logic.
Note: if first tx hash is empty, then it should put first transactions hash for that user into that parameter (ask Salakhiev Kamil if have question about that)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-18,,,No,,,Unset,No,,,1|hzzzi1:,,,,Unset,Unset,Iroha Sprint 1,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add pagination logic into SQL queries for GetAccountAssetTransactions ,IR-22,35585,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,NikitaAlekseev,lebdron,neewy,11/26/18 15:50,8/26/19 18:23,1/18/23 07:00,12/7/18 19:59,,1.0 rc5,,0,,,,"As GetAccountAssetTransactions query will be updated with pagination logic it will have additional parameters like first tx hash and page size. They should be used in query executor to have pagination logic.
Note: if first tx hash is empty, then it should put first transactions hash for that user into that parameter (ask Salakhiev Kamil if have question about that)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-18,,,No,,,Unset,No,,,1|hzzzi1:i,,,,Unset,Unset,Iroha Sprint 1,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending storage pagination - request,IR-23,35586,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,igor-egorov,lebdron,neewy,11/26/18 15:51,8/26/19 18:23,1/18/23 07:00,6/17/19 20:37,,,,1,,,,Implement according to the [POW|https://soramitsu.atlassian.net/wiki/spaces/IS/pages/1075281947/POW+N+089+Pagination+for+Pending+Transactions+Storage],,,,,,,,,,,,,,,,,,,,,,,,IR-443,IR-536,IR-537,IR-538,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-65,,,No,,,Unset,No,,,1|i00mx4:,,,,Unset,Unset,Sprint 1,Sprint 2,,(Please add steps to reproduce),5,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,11/Jun/19 12:20 AM;igor-egorov;https://github.com/soramitsu/iroha/pull/9;;;,"13/Jun/19 10:23 PM;igor-egorov;[https://github.com/hyperledger/iroha/pull/116]

 ;;;",,,,,
Add TransactionPageResponse to QueryResponseFactory,IR-24,35587,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Kamil_Salakhiev,lebdron,neewy,11/26/18 15:51,8/26/19 18:23,1/18/23 07:00,11/30/18 18:12,,1.0 rc5,,0,,,,As there will be new shared model for TransactionPageResponse it is needed to add it to query response factory.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-18,,,No,,,Unset,No,,,1|hzzzi2:i,,,,Unset,Unset,Iroha Sprint 1,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update acceptance tests for query pagination,IR-25,35588,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Mikhail_Boldyrev,Mikhail_Boldyrev,neewy,11/26/18 15:51,8/26/19 14:48,1/18/23 07:01,12/10/18 18:21,,1.0 rc5,,0,,,,"Update get account txs and get account asset txs tests with pagination logic. Test cases could be the following:
 # Check that when first tx hash in the page is empty first n transactions are returned (where n is the page size)

 # Check that when page size in the query bigger than total number of transactions next hashfield in response is empty

 # Given 10 transactions for accountA, when accountA invokes getAccountAssetTransactions with page size four three times, first two times pages with size 4 and next_tx_hash fields are returned and last time page with size 2 and empty next_tx_hash field is returned

 # (same test as 3 but for get account asset query)

Feel free to add more test cases",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-18,,,No,,,Unset,No,,,1|hzzzi3:,,,,Unset,Unset,Iroha Sprint 1,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,"05/Dec/18 11:05 PM;Mikhail_Boldyrev;The task was changed from acceptance to unit tests, so the actual version is PRed [here|https://github.com/hyperledger/iroha/pull/1915].

There is also a [version with acceptance tests|[https://github.com/MBoldyrev/iroha/tree/trashbin/pagination-txs-qry-acceptance-tests]] for history on;y.;;;",,,,,,
Update stateless validation for GetAccountTransactions,IR-26,35589,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Mikhail_Boldyrev,lebdron,neewy,11/26/18 15:55,8/26/19 18:23,1/18/23 07:00,12/4/18 16:14,,1.0 rc5,,0,,,,"Validation rules are the following:

page size should be > 0

if tx hash is set it should be valid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-18,,,No,,,Unset,No,,,1|hzzzi3:i,,,,Unset,Unset,Iroha Sprint 1,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update stateless validation for GetAccountAssetTransactions,IR-27,35590,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Mikhail_Boldyrev,lebdron,neewy,11/26/18 15:55,8/26/19 18:23,1/18/23 07:00,12/4/18 16:14,,1.0 rc5,,0,,,,"Validation rules are the following:

page size should be > 0

if tx hash is set it should be valid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-18,,,No,,,Unset,No,,,1|hzzzi4:,,,,Unset,Unset,Iroha Sprint 1,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update stateless validation for GetPendingTransactions,IR-28,35591,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,igor-egorov,lebdron,neewy,11/26/18 15:56,8/26/19 18:23,1/18/23 07:00,6/17/19 20:37,,,,0,,,,"Validation rules are the following:

page size should be > 0

if tx hash is set it should be valid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-65,,,No,,,Unset,No,,,1|i00mx6:,,,,Unset,Unset,Sprint 1,Sprint 2,,(Please add steps to reproduce),5,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,11/Jun/19 12:21 AM;igor-egorov;https://github.com/soramitsu/iroha/pull/9;;;,13/Jun/19 10:25 PM;igor-egorov;[https://github.com/hyperledger/iroha/pull/116];;;,,,,,
Backwards compatibility,IR-29,35592,,Epic,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,neewy,11/26/18 15:58,8/26/19 18:23,1/18/23 07:00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-11,,Backwards compatibility,Done,No,,,Unset,No,,,1|i0005r:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update structure of the Block to one of,IR-30,35593,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Kamil_Salakhiev,lebdron,neewy,11/26/18 15:59,8/26/19 18:23,1/18/23 07:00,12/3/18 18:59,,1.0 rc5,,0,,,,"New schema of the block is:

message Block1_0 {

// All fields for 1.0 version of the block

}

message Block2_0 {

// All fields for 2.0 version of the block

}

message Block {

oneof block {

Block1_0 block1_0 = 1;

Block2_0 block2_0 = 2;

}

}

Current block shared model can be on top of Block1_0 protobuf object.

Block shared model should be serialized to Block protobuf object (not Block1_0)

Block1_0 should be deserialized into Block shared model object",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-29,,,No,,,Unset,No,,,1|hzzzi5:,,,,Unset,Unset,Iroha Sprint 1,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resistance to replay attacks,IR-31,35594,,Epic,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,neewy,11/26/18 16:13,8/26/19 18:23,1/18/23 07:00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-13,,Resistance to replay attacks,Done,No,,,Unset,No,,,1|i0005z:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add replay check to Command service,IR-32,35595,,Epic,Closed,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,neewy,11/26/18 16:13,8/26/19 18:23,1/18/23 07:00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-1,,Add replay check to Command service,Done,No,,,Unset,No,,,1|i00067:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add transaction cache to application,IR-33,35596,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,,lebdron,neewy,11/26/18 16:13,3/27/20 18:01,1/18/23 07:00,11/28/18 16:41,,1.0 rc5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-31,,,No,,,Unset,No,,,1|hzzzi5:i,,,,Unset,Unset,Iroha Sprint 1,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add replay check to Command service,IR-34,35597,,Task,Closed,IR,Iroha,software,ekovalev,,,Medium,,muratovv,lebdron,neewy,11/26/18 16:14,8/26/19 18:23,1/18/23 07:00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-31,,,No,,,Unset,No,,,1|hzzzhz:f,,,,Unset,Unset,Iroha Sprint 1,Iroha Sprint 2,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
OnDemandOrderingService: lost proposal,IR-35,35598,,Improvement,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,neewy,11/26/18 16:19,8/26/19 14:47,1/18/23 07:01,,,,,0,optimization,orderingservice,,"During ITF tests with Fake Peers in the bft-os trunk the following behaviour was sometimes observed:
1. During round `[i,0]` peer A gets a command from client and `OnDemandOsClientGrpc` starts propagating proposals: `[i,2]` -> B, `[i+1,1]` -> C, `[i+2,0]` -> A.
2. Consensus for round `[i,0]` is reached, and A's `OnDemandOrderingServiceImpl` switches to the round `[i+1,0]`.
3. A's `OnDemandOrderingServiceImpl`gets the proposal for round `[i+2,0]` from himself, but that round is already closed for incoming proposals, and the incoming proposal is stored for round `[i+3,0]`.
4. When round `[i+2,0]` comes, A asks himself for the proposal, but does not provide one. And no other peer gets the client's transaction submitted in the beginning.
5. When round `[i+3,0]` comes, some other peer is the ordering service, and the proposal stored in A is completely lost.
6. The client is unaware of the status of his transaction. In ITF it a timeout is triggered.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzwref:001i9,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,"06/Dec/18 6:13 PM;neewy;This task is considered to be an improvement, not a bug;;;",,,,,,
Refactor simulator components with optional,IR-36,35599,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,lebdron,lebdron,neewy,11/26/18 16:20,8/26/19 18:23,1/18/23 07:00,11/29/18 16:03,,1.0 rc5,,0,,,,"Due to changes in ordering gate, it should process optional<proposal> and round, and produce optional<block>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-37,,,No,,,Unset,No,,,1|hzzzi1:r,,,,Unset,Unset,Iroha Sprint 1,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consensus,IR-37,35600,,Epic,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,neewy,11/26/18 16:20,8/26/19 22:29,1/18/23 07:00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-3,,Consensus,To Do,No,,,Unset,No,,,1|i0006v:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn on system tests when BFT OS is merged,IR-38,35601,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,lebdron,lebdron,neewy,11/26/18 16:26,8/26/19 18:23,1/18/23 07:00,12/12/18 16:10,,1.0 rc5,,0,,,,"When reject rounds are enabled, system tests should be also enabled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-37,,,No,,,Unset,No,,,1|hzzzi4:r,,,,Unset,Unset,Iroha Sprint 1,Iroha Sprint 2,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research OSS fuzzing,IR-39,35602,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,,lebdron,neewy,11/26/18 16:27,3/27/20 18:01,1/18/23 07:00,12/7/18 16:13,,1.0 rc5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzzzhz:i,,,,Unset,Unset,Iroha Sprint 1,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,"06/Dec/18 4:11 PM;neewy;We've approached the state when fuzzing works for a single endpoint and now we need to split this task into certain actions:
* create a script that prepares environment for build and fuzzing (unfortunately OSS-Fuzz uses clear docker)
* fix remaining issues with fuzzing endpoints
* add fuzzing in CI pipeline;;;",,,,,,
Update naming of the client services,IR-40,35603,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,P.Kotov,lebdron,neewy,11/26/18 16:28,8/26/19 18:23,1/18/23 07:00,11/27/18 19:34,,1.0 rc5,,0,,,,"Command and Query services' names should be updated with version concatenated.

CommandService → CommandService1_0

QueryService → QueryService1_0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-29,,,No,,,Unset,No,,,1|hzzzi6:i,,,,Unset,Unset,Iroha Sprint 1,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol/Interface validators,IR-41,35604,,Bug,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,P.Kotov,lebdron,neewy,11/26/18 17:28,8/26/19 18:23,1/18/23 07:00,11/27/18 19:09,,1.0 rc5,,0,,,,"Now, protocol/proto validators work as follows:

* create an object from protocol
* validate its protocol part
* validate its interface part

The problem is that in some cases it is impossible to create an object from protocol, which causes run-time errors. So, the order should be changed, and ProtoFactory must accept not only a proto validator, but also a protocol one to have a possibility to validate protocol before creating proto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzzzi0:8,,,,Unset,Unset,Iroha Sprint 1,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
