Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Add ansible for cello-analytics setup,CE-59,18303,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,qiang0723,qiang0723,qiang0723,19/Jun/17 8:17 PM,18/Apr/18 10:42 AM,28/Oct/23 2:20 AM,18/Apr/18 10:42 AM,,,Future,,Cello-Analytics,,,,,0,Cello,Cello-Analytics,,,,"Using ansile to install log-analytics, monitor and other tools on master and each agent conveniently.",,baohua,qiang0723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy4p3:",,,,,,Cello-Analytics,,,,,,,,,,,,,,baohua,qiang0723,,,,,,,,"18/Apr/18 10:42 AM;baohua;Will temporarily close this since no progress for quite a while.
Feel free to re-open if needed.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix documentation,CE-60,18412,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,baohua,baohua,baohua,20/Jun/17 4:09 PM,28/Jul/17 7:14 PM,28/Oct/23 2:20 AM,27/Jun/17 11:38 AM,,,,,,,,,,0,Cello,Cello-Documentation,,,,"Fix empty lines and add several words.

Also for demo on hackfest.

 

 ",,baohua,,,,,,,,,,,,,,144000,144000,,0%,144000,144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy4zr:",,,,,,General,,,,,,,,,,,,,,baohua,,,,,,,,,"20/Jun/17 4:15 PM;baohua;https://gerrit.hyperledger.org/r/10819;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add fabric 1.0 image pulling script,CE-61,18506,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,High,Done,baohua,baohua,baohua,21/Jun/17 5:00 PM,27/Jun/17 11:35 AM,28/Oct/23 2:20 AM,27/Jun/17 11:35 AM,,,v0.7,,,,,,,0,Cello,,,,,,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CE-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy55j:",,,,,,General,,,,,,,,,,,,,,baohua,,,,,,,,,"21/Jun/17 5:07 PM;baohua;https://gerrit.hyperledger.org/r/10899;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add network and network_config module,CE-62,18508,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,High,Done,baohua,baohua,baohua,21/Jun/17 6:03 PM,24/Jun/17 12:12 AM,28/Oct/23 2:20 AM,24/Jun/17 12:12 AM,,,v0.7,,,,,,,0,Cello,,,,,"Implement following modules:

Network: a blockchain network, like a fabric network 

NetworkConfig: configurations of a blockchain network

 ",,baohua,,,,,,,,,,,,,,144000,144000,,0%,144000,144000,,,,,,,,,,,CE-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy55z:",,,,,,General,,,,,,,,,,,,,,baohua,,,,,,,,,"21/Jun/17 6:06 PM;baohua;https://gerrit.hyperledger.org/r/#/c/10901/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update fabric 1.0 compose files,CE-63,18509,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,High,Done,qiang0723,baohua,baohua,21/Jun/17 6:11 PM,26/Jun/17 11:57 PM,28/Oct/23 2:20 AM,26/Jun/17 11:57 PM,v0.7,,v0.7,,,,,,,0,Cello,,,,,"We need to add some compose template to support fabric 1.0.

 

This can be found at fabric e2e example, but need to update to latest one, to support a quick bootup with a 2-org-4-peer network topology.",,baohua,qiang0723,,,,,,,,,,,,,144000,144000,,0%,144000,144000,,,,,,,,,,,CE-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy567:",,,,,,General,,,,,,,,,,,,,,baohua,qiang0723,,,,,,,,"26/Jun/17 5:15 PM;qiang0723;https://gerrit.hyperledger.org/r/#/c/11143/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable starting a 2-org-4-peer fabric 1.0 network on worker node,CE-64,18548,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,High,Done,indirajith,baohua,baohua,22/Jun/17 4:58 PM,13/Jul/17 7:43 PM,28/Oct/23 2:20 AM,13/Jul/17 7:43 PM,v0.7,,v0.7,,,,,,,0,Cello,,,,,"Redesign the existing code (which is hardcoded to support fabric v0.6) to support multiple types of blockchain network, from fabric 1.0 to others.

 

And implement the fabric 1.0 running on worker node, i.e. users can start/stop a fabric 1.0 network (with exampled 2-org-4-peer config) at the worker node through RESTful API or dashboard.",,AshishkumarLakshmanan,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CE-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy5a7:",,,,,,General,,,,,,,,,,,,,,AshishkumarLakshmanan,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add missing license head for user dashboard folder,CE-65,18552,17581,Sub-task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Highest,Done,sallymilu,sallymilu,sallymilu,22/Jun/17 6:40 PM,19/Jul/17 9:24 PM,28/Oct/23 2:20 AM,19/Jul/17 9:24 PM,,,,,,,,,,0,,,,,,Add missing license head for user-dashboard folder,,baohua,sallymilu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy5av:",,,,,,,,,,,,,,,,,,,,baohua,sallymilu,,,,,,,,"29/Jun/17 12:25 PM;sallymilu;TrackballControls.js is waiting for the author to confirm whether we can add Apache license header in source code;;;","03/Jul/17 11:02 AM;baohua;Sure, and feel free to fix others first, thanks!;;;","18/Jul/17 10:18 PM;sallymilu;Yes, you can add the MIT license header, since MIT license is also used by three.js.
 
Kind Regards,
Eberhard Gräther;;;","19/Jul/17 11:41 AM;baohua;Pls post the patchset link here for review :);;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release v0.6,CE-66,18592,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,,baohua,baohua,23/Jun/17 2:08 PM,27/Jun/17 11:38 AM,28/Oct/23 2:20 AM,27/Jun/17 11:38 AM,,,v0.6,,Cello-Core,,,,,0,Cello,,,,,"The v0.6 version finished the main structure to support BaaS.
 * Support fabric v0.6 as the blockchain networks
 * Support Docker Host as underly infra
 * Support Docker Swarm as underly infra
 * Provide an operational Web UI dashboard",,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy5fz:",,,,,,Cello-General,,,,,,,,,,,,,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use the fabric 1.0.0-rc1 image,CE-67,18642,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,High,Done,qiang0723,baohua,baohua,24/Jun/17 9:53 AM,27/Jun/17 11:41 AM,28/Oct/23 2:20 AM,27/Jun/17 11:41 AM,v0.7,,v0.7,,Cello-Agent,,,,,0,Cello,,,,,"Currently we are using 1.0.0-beta image

Need to update it to use the 1.0.0-rc1 image",,baohua,qiang0723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy5n3:",,,,,,Cello-General,,,,,,,,,,,,,,baohua,qiang0723,,,,,,,,"27/Jun/17 11:40 AM;qiang0723;Done, refer to  #-CE-63- ;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Init the agent module for k8s-operator,CE-68,18646,17549,Sub-task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,,baohua,baohua,24/Jun/17 7:28 PM,27/Jun/17 11:37 AM,28/Oct/23 2:20 AM,27/Jun/17 11:37 AM,,,Future,,Cello-Agent,,,,,0,Cello,Cello-k8s,,,,"Init the agent module for k8s-operator.

Which will call the apis by k8s-operator to support the k8s platform.",,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy5nz:",,,,,,Cello-General,,,,,,,,,,,,,,baohua,,,,,,,,,"24/Jun/17 7:30 PM;baohua;https://gerrit.hyperledger.org/r/#/c/11121/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let network config support multi types of blockchain,CE-69,18651,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,,baohua,baohua,25/Jun/17 12:28 AM,26/Jun/17 9:43 PM,28/Oct/23 2:20 AM,26/Jun/17 9:43 PM,,,v0.7,,Cello-Core,,,,,0,Cello,,,,,Let network config to support multiple types of blockchain networks.,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CE-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy5on:",,,,,,Cello-Feature Design,,,,,,,,,,,,,,baohua,,,,,,,,,"26/Jun/17 9:43 PM;baohua;https://gerrit.hyperledger.org/r/#/c/11125/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
React theme create chains fail for solo,CE-70,18659,,Bug,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,25/Jun/17 10:39 PM,30/Jun/17 10:40 PM,28/Oct/23 2:20 AM,30/Jun/17 10:40 PM,,,,,Admin-Dashboard,,,,,0,,,,,,When create solo type chain return 400 error,,hightall,,,,,,,";26/Jun/17 11:25 PM;hightall;4020","Add network_type in form data, get 500 internal error, but the cluster is created, and the cluster cannot be deleted.;26/Jun/17 11:38 PM;hightall;60",";28/Jun/17 12:43 AM;hightall;3480","Fixed create chain failed;29/Jun/17 12:18 AM;hightall;8700",,,,28800,12540,16260,56%,28800,12540,16260,,,,,,,,,,CE-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy5pz:",,,,,,,,,,,,,,,,,,,,hightall,,,,,,,,,"29/Jun/17 10:54 AM;hightall;recheck;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support user authentication for dashboard,CE-71,18671,,New Feature,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,26/Jun/17 11:53 PM,02/Aug/17 6:05 PM,28/Oct/23 2:20 AM,02/Aug/17 5:55 PM,v0.7,,v0.7,,Admin-Dashboard,User-Dashboard,,,,0,Cello,,,,,Add user authentication and registration for admin & user dashboard.,,baohua,hightall,,,,,,";27/Jun/17 12:42 AM;hightall;840",";27/Jun/17 10:34 AM;hightall;36300",";04/Jul/17 12:47 AM;hightall;7800","Add flask-login, flask-mongoengine, can not import db from dashboard.py.;05/Jul/17 12:54 AM;hightall;7740","mongoengine, crypt, can work fine. Add login_required, and user_loader;06/Jul/17 12:45 AM;hightall;9120","Support user login for react theme;07/Jul/17 12:42 AM;hightall;9540",";27/Jul/17 12:27 AM;hightall;2880",144000,69780,74220,51%,144000,69780,74220,,,,,,,,,,,,CE-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy5rz:",,,,,,Cello-General,,,,,,,,,,,,,,baohua,hightall,,,,,,,,"26/Jul/17 6:03 PM;baohua;I suggest we finish the functionality in the basic theme first.;;;","28/Jul/17 11:05 AM;baohua;https://gerrit.hyperledger.org/r/#/c/11985;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create Kubernetes Manifest for fabric-1.0,CE-72,18678,14056,Sub-task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,chawlanikhil24,chawlanikhil24,chawlanikhil24,27/Jun/17 1:59 AM,11/Jul/17 5:09 PM,28/Oct/23 2:20 AM,07/Jul/17 5:11 PM,,,,,,,,,,0,,,,,,,,baohua,chawlanikhil24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy5t3:",,,,,,Cello-Feature Design,,,,,,,,,,,,,,baohua,chawlanikhil24,,,,,,,,"03/Jul/17 11:02 AM;baohua;Pls help post ur gerrit commit link here as it's in review status.
Thanks!;;;","04/Jul/17 5:05 PM;chawlanikhil24;I am developing a automated script that will deploy fabric-1.0 over K8s in a click. Meanwhile, if possible then the manifests can be reviewed at my repository, here is the [link|https://github.com/chawlanikhil24/hyperledger-fabric-k8s].;;;","05/Jul/17 10:49 PM;baohua;The patchset should be located at gerrit.hyperledger.org.;;;","07/Jul/17 4:23 PM;chawlanikhil24;https://gerrit.hyperledger.org/r/#/c/11433/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specify docker version range,CE-73,18701,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,High,Done,baohua,baohua,baohua,27/Jun/17 11:48 AM,27/Jun/17 4:53 PM,28/Oct/23 2:20 AM,27/Jun/17 4:53 PM,,,v0.7,,Cello-Doc,,,,,0,Cello-Documentation,,,,,"It is reported there's issue to run Cello atop latest Docker 1.17.5 version.

 

We specify the supported version range as 1.10~1.13 now.",,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy5wf:",,,,,,Cello-General,,,,,,,,,,,,,,baohua,,,,,,,,,"27/Jun/17 11:51 AM;baohua;https://gerrit.hyperledger.org/r/#/c/11173/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix fabric images tag ,CE-74,18705,,Bug,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,High,Done,qiang0723,qiang0723,qiang0723,27/Jun/17 6:16 PM,03/Jul/17 11:03 AM,28/Oct/23 2:20 AM,03/Jul/17 11:03 AM,,,,,,,,,,0,,,,,,,,qiang0723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy5x3:",,,,,,,,,,,,,,,,,,,,qiang0723,,,,,,,,,"27/Jun/17 7:50 PM;qiang0723;https://gerrit.hyperledger.org/r/#/c/11179/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debugging of Manifests and make Fabric 1.0 in action,CE-75,18771,14056,Sub-task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,High,Done,chawlanikhil24,chawlanikhil24,chawlanikhil24,29/Jun/17 2:30 PM,24/Jul/17 6:28 PM,28/Oct/23 2:20 AM,24/Jul/17 6:28 PM,,,,,,,,,,0,,,,,,"Link to the manifests.

https://github.com/chawlanikhil24/hyperledger-fabric-k8s",,baohua,chawlanikhil24,grapebaba,inaki,nnao,qiang0723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08/Jul/17 1:52 PM;chawlanikhil24;K8s Logs.tar;https://jira.hyperledger.org/secure/attachment/11613/K8s+Logs.tar","11/Jul/17 3:55 PM;chawlanikhil24;image-2017-07-11-12-25-25-492.png;https://jira.hyperledger.org/secure/attachment/11630/image-2017-07-11-12-25-25-492.png","11/Jul/17 4:02 PM;chawlanikhil24;image-2017-07-11-12-32-47-427.png;https://jira.hyperledger.org/secure/attachment/11631/image-2017-07-11-12-32-47-427.png","11/Jul/17 4:02 PM;chawlanikhil24;image-2017-07-11-12-32-53-682.png;https://jira.hyperledger.org/secure/attachment/11632/image-2017-07-11-12-32-53-682.png","11/Jul/17 4:03 PM;chawlanikhil24;image-2017-07-11-12-33-07-353.png;https://jira.hyperledger.org/secure/attachment/11633/image-2017-07-11-12-33-07-353.png","11/Jul/17 4:03 PM;chawlanikhil24;image-2017-07-11-12-33-12-015.png;https://jira.hyperledger.org/secure/attachment/11634/image-2017-07-11-12-33-12-015.png","11/Jul/17 4:04 PM;chawlanikhil24;image-2017-07-11-12-34-04-180.png;https://jira.hyperledger.org/secure/attachment/11635/image-2017-07-11-12-34-04-180.png",,,,,,,,,,,,,,,,,,,,,,,,"1|hzy64v:",,,,,,Cello-Feature Design,,,,,,,,,,,,,,baohua,chawlanikhil24,grapebaba,inaki,nnao,qiang0723,,,,"03/Jul/17 11:01 AM;baohua;Thanks!

And once the tests are passed, can submit as commit.;;;","08/Jul/17 3:20 AM;chawlanikhil24;The logs generated from the cli container after running [initialize.sh|https://github.com/chawlanikhil24/hyperledger-fabric-k8s/blob/master/fabric-1.0/driving-files/scripts/initialize.sh] script.

[https://pastebin.com/YN4EmiW4] .

We have to rectify this error, to make Fabric-1.0 in action on Kubernetes. There has been certain discussion about this issue on this [link|https://jira.hyperledger.org/projects/CE/issues/CE-7?filter=allopenissues].

Please  come up with your opinions.

 ;;;","08/Jul/17 10:13 AM;baohua;What's ur steps to repeat the error msg?

[~qiang0723] we may disable the tls first by booting up fabric 1.0, seems tls handshakes problem.;;;","08/Jul/17 1:45 PM;chawlanikhil24;After deployment of the cluster on kubernetes, ran the *Fabric-cli ,* using the command:

kubectl exec -it <pod> /bin/bash

In the pod, 
{code:java}
$ bash scripts/initialize.sh
{code}
 

 ;;;","08/Jul/17 1:53 PM;chawlanikhil24;[^K8s Logs.tar]

This tar contains the images from the container environment. All the information form the container environment variable set during deployment is available here. Please do consider them while rectifying the issue.  ;;;","11/Jul/17 2:48 PM;qiang0723;[~chawlanikhil24] ,

1. [https://github.com/chawlanikhil24/hyperledger-fabric-k8s/blob/master/fabric-1.0/local/peer-base.yaml]  ,I Think the env `CORE_VM_DOCKER_HOSTCONFIG_NETWORKMODE` should be 

`local_default`

 

2. [https://github.com/chawlanikhil24/hyperledger-fabric-k8s/blob/master/fabric-1.0/local/peer2.yaml]  CORE_PEER_GOSSIP_EXTERNALENDPOINT should be peer0-org2:7051

 

3.[https://github.com/chawlanikhil24/hyperledger-fabric-k8s/blob/master/fabric-1.0/local/peer3.yaml] CORE_PEER_GOSSIP_BOOTSTRAP  should be its org's anchor peer IP

peer0-org2:7051;;;","11/Jul/17 3:55 PM;chawlanikhil24;[~qiang0723] , I made your suggested changes, but the issue at the beginning is with , orderer-service, which is demanding for the tls handshake and it is not being successfully executed. I am attaching the pic of the container log, I disables the tls handshake from the cli-container but, I can't disable tls-handshake on orderer-service mannually. If I am going correct, then for running chain code, we need to disable this tls-handshake and then proceed. 

 

!image-2017-07-11-12-25-25-492.png!;;;","11/Jul/17 4:07 PM;chawlanikhil24;When I enabled the ""TLS_HANDSHAKE"" from the fabric-cli pod. then 

```

2017-07-11 07:05:33.725 UTC [msp] GetLocalMSP -> DEBU 005 Returning existing local MSP
2017-07-11 07:05:33.725 UTC [msp] GetDefaultSigningIdentity -> DEBU 006 Obtaining default signing identity
2017-07-11 07:05:33.728 UTC [grpc] Printf -> DEBU 007 Failed to dial orderer-service:7050: connection error: desc = ""transport: authentic
ation handshake failed: x509: certificate is valid for orderer.example.com, orderer, not orderer-service""; please retry.
Error: Error connecting due to rpc error: code = Internal desc = connection error: desc = ""transport: authentication handshake failed: x
509: certificate is valid for orderer.example.com, orderer, not orderer-service""

```

configtx.yaml allows me to create certs, in name-format: orderer.example.com not orderer-service, somehow we need to fix this;;;","11/Jul/17 4:35 PM;qiang0723;[~chawlanikhil24]   

[https://github.com/chawlanikhil24/hyperledger-fabric-k8s/blob/master/fabric-1.0/local/orderer.yaml]  , ORDERER_GENERAL_TLS_ENABLED  this env can not disable TLS on orderer-service?

As the containers name, I think we best consistent with the configtx.yaml and crypto-config.yaml. If this, it must have a dot in containers name. as described in crypto-config.yaml, ;;;","11/Jul/17 4:55 PM;chawlanikhil24;[~qiang0723] , By mistake, I skipped this environment variable and yess now the handshake skipped. :)

But a new error is generated  in orderer-service . Here is the [error|https://ghostbin.com/paste/4saqe] log. 

 

As per dot in config.yaml and configtx.yaml, those are ""."" in names of  proxy in terms of kubernetes, so we can use . in proxy name in kubernetes, like in docker-swarm, we can name a proxy as x.y.z . ;;;","11/Jul/17 5:17 PM;qiang0723;[~chawlanikhil24] How can I repeat your steps, refer to [https://github.com/chawlanikhil24/hyperledger-fabric-k8s/tree/master/fabric-1.0] ?;;;","11/Jul/17 5:44 PM;chawlanikhil24;I followed the same steps, mentioned in [https://github.com/chawlanikhil24/hyperledger-fabric-k8s/blob/master/fabric-1.0/README.md] . 

I used minikube+weavenet .;;;","12/Jul/17 10:48 AM;grapebaba;IMO, we don't need follow e2e_cli example. We need create tls certs using domain name which k8s used for peer service, orderer service;;;","13/Jul/17 3:25 PM;chawlanikhil24;After Disabling all the TLS handshakes, and debugging of scripts

I've reached till ""creating the channel"" from scripts/initialize.sh

Now, the only error persisting is, peer not joining the channel ..

error from the logs is:
{code:java}
2017-07-13 06:24:32.986 UTC [msp] GetDefaultSigningIdentity -> DEBU 006 Obtaining default signing identity
2017-07-13 06:24:32.986 UTC [channelCmd] InitCmdFactory -> INFO 007 Endorser and orderer connections initialized
2017-07-13 06:24:32.987 UTC [msp/identity] Sign -> DEBU 008 Sign: plaintext: 0A8A070A5C08011A0C08A0A49CCB0510...EDF55FE0E72A1A080A000A000A000A00 
2017-07-13 06:24:32.987 UTC [msp/identity] Sign -> DEBU 009 Sign: digest: D5DE97D82BA14CDBEFF7AF3E1034194576B6AD908669FF1E413BC3CEAB6EADF9 
Error: proposal failed (err: rpc error: code = Unimplemented desc = unknown service protos.Endorser)

{code}
I assume, if we rectify this ASAP, then fabric-1.0 will be running on top of K8s.;;;","22/Jul/17 2:00 PM;chawlanikhil24;The last error has been debugged. The error was due to a bug of Kubernetes and the CNI i was using is weave.net . After updating to Kubernetes 1.7.1 and lates version of ""Flannel"", solved the issue of peer joining. As well as chaincode has been installed on the peers. 

The only Issue that persists is ""chaincode container creation"" from inside of a kubernetes Pod. Working on it, and soon it will be fixed. The 2 ways I can think of :
 # Sharing the docker socket of host machine with the peer pod containers, and then create container on machine using the same socket.
 # Linking the peer container with kubernetes DNS pod and finding a way to deploy Chaincode Pod.;;;","24/Jul/17 6:28 PM;baohua;https://gerrit.hyperledger.org/r/#/c/11861/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support fabric v0.6 & v1.0 in theme react,CE-76,18860,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Low,Done,hightall,hightall,hightall,30/Jun/17 10:48 PM,18/Dec/17 11:57 AM,28/Oct/23 2:20 AM,18/Dec/17 11:57 AM,,,Future,,Admin-Dashboard,,,,,0,Dashboard,ui,,,,Fabric v0.6 & v1.0 can work fine in react theme.,,baohua,hightall,,,,,,,,,,,,,144000,144000,,0%,201600,196680,4920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy6jr:",,,,,,,,,,,,,,,,,,,,baohua,hightall,,,,,,,,"18/Dec/17 11:57 AM;baohua;We temporarily disable react, hence close this first.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix operation error in cluster view,CE-77,18861,18860,Sub-task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,,hightall,hightall,30/Jun/17 10:50 PM,01/Jul/17 8:47 AM,28/Oct/23 2:20 AM,01/Jul/17 8:47 AM,v0.7,,v0.7,,Admin-Dashboard,,,,,0,ui,,,,,Fix operation error in cluster view,,baohua,hightall,,,,,,";30/Jun/17 10:54 PM;hightall;120",";30/Jun/17 11:16 PM;hightall;240","Fixed start/stop/restart operation on cluster;01/Jul/17 12:39 AM;hightall;4560",,,,,57600,52680,4920,8%,57600,52680,4920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy6jz:",,,,,,,,,,,,,,,,,,,,baohua,hightall,,,,,,,,"01/Jul/17 8:47 AM;baohua;https://gerrit.hyperledger.org/r/#/c/11311/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
