Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
The documentation of the chaincode-EVM should list the limitations,FABCE-98,36884,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,lehors,lehors,18/Jan/19 1:38 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,08/Mar/19 11:49 AM,,0,,,"For one thing, we don't support ether. We should have that documented so that people have the right expectations.",,lehors,MHBauer,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i007g7:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),lehors,MHBauer,swetharepakula,,,,,,,,,,,,,,"24/Jan/19 5:23 AM;MHBauer;Does this mean actual deployed for users documentation, or is it handled by the release notes? [https://github.com/hyperledger/fabric-chaincode-evm/blob/release-0.1/release_notes/v0.1.0.md];;;","02/Mar/19 5:05 AM;swetharepakula;https://gerrit.hyperledger.org/r/#/c/29752/;;;",,,,,,,,,,,,,,,,,,,,
Documentation should indicate Fab3 requires a running Fabric Network,FABCE-99,42447,,Epic,Backlog,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,,,swetharepakula,swetharepakula,21/Sep/19 3:13 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,,,0,,,"It should also be clear to run Fab3, a running Fabric network is necessary. Reference necessary Fabric documentation.

 

This is a split of the Jira FAB-14651.",,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i010ln:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improve Instructions on installing EVMCC,FABCE-100,38476,,Epic,Backlog,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,,,swetharepakula,swetharepakula,15/Mar/19 5:21 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,,,0,,,Currently the instructions on installing the EVMCC assume that users are familiar with user chaincodes in Fabric. The documentation needs to include that a running fabric network is necessary and reference Fabric docs on installing chaincodes. Another important addition is to make sure users download and clone the repository in the gopath before running the commands.,,PallabPaul,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00g67:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),PallabPaul,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicate that `payable` keyword from Solidity will not work,FABCE-101,39537,,Documentation,Backlog,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,,,swetharepakula,swetharepakula,27/Apr/19 7:58 AM,21/Jan/20 8:04 AM,28/Oct/23 2:24 AM,,,0,good-first-issue,,"In solidity contracts, the keyword `payable` refers to a transfer of a native token. Those contracts will not work in the EVMCC, we should indicate that in the README under the Fab3 section.",,PallabPaul,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00m5z:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),PallabPaul,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update Transaction Fab3 APIs with new fields,FABCE-102,41587,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,swetharepakula,swetharepakula,02/Aug/19 8:31 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,03/Aug/19 3:23 AM,,0,,,"Transactions have value, gasPrice and From fields. Update the Fab3_Instructions.md to reflect the new changes.",,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00vy3:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"02/Aug/19 8:41 AM;swetharepakula;[https://gerrit.hyperledger.org/r/#/c/fabric-chaincode-evm/+/32653/];;;",,,,,,,,,,,,,,,,,,,,,
Minor code error in EVM_Smart_Contracts.md,FABCE-103,39499,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Lowest,Done,PallabPaul,PallabPaul,PallabPaul,25/Apr/19 12:01 PM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,02/Jul/19 12:44 AM,,0,,,"*./byfn up* should be changed to *./byfn.sh up* in [fabric-chaincode-evm/examples/EVM_Smart_Contracts.md|https://github.com/hyperledger/fabric-chaincode-evm/blob/master/examples/EVM_Smart_Contracts.md]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00lz3:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,"25/Apr/19 12:22 PM;PallabPaul;[https://gerrit.hyperledger.org/r/#/c/31085/|https://gerrit.hyperledger.org/r/#/c/31085/];;;",,,,,,,,,,,,,,,,,,,,,
Update Docs with new Network ID,FABCE-104,41586,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,swetharepakula,swetharepakula,02/Aug/19 7:53 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,03/Aug/19 3:23 AM,,0,,,Update the Fab3_Instructions.md to reflect the changes to the network id.,,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00vxv:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"02/Aug/19 8:01 AM;swetharepakula;[https://gerrit.hyperledger.org/r/#/c/fabric-chaincode-evm/+/32652/];;;",,,,,,,,,,,,,,,,,,,,,
Fix web3 command in tutorial in fabric-chaincode-evm,FABCE-105,37163,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Low,Done,horeaporutiu,swetharepakula,swetharepakula,26/Jan/19 8:04 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,26/Jan/19 8:30 AM,,0,,,"The tutorial in the repo uses:

 

{{`myContract = SimpleStorage.at(web3.eth.getTransactionReceipt(deployedContract.transactionHash).ContractAddress)`}}

{{It should instead be:}}

{{`myContract = SimpleStorage.at(web3.eth.getTransactionReceipt(deployedContract.transactionHash).contractAddress)`}}

where contractAddress has the c in lowercase.",,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00933:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"26/Jan/19 8:30 AM;swetharepakula;https://gerrit.hyperledger.org/r/#/c/28966/;;;",,,,,,,,,,,,,,,,,,,,,
Add Contribution information to README,FABCE-106,37428,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,swetharepakula,swetharepakula,05/Feb/19 4:31 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,08/Mar/19 11:29 AM,,0,,,"We should add a section in the readme that explain how others can contribute.

 

As part of this we should include our current dependencies such as GO, Burrow, SDK, and Dep",,MHBauer,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00aif:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),MHBauer,swetharepakula,,,,,,,,,,,,,,,"05/Feb/19 7:32 AM;MHBauer;do we have a dev guide beyond linking to fabric practices?;;;","05/Feb/19 7:59 AM;swetharepakula;[https://hyperledger-fabric.readthedocs.io/en/release-1.4/CONTRIBUTING.html|https://hyperledger-fabric.readthedocs.io/en/release-1.4/CONTRIBUTING.html.]

We don't have any fabric-chaincode-evm specific guide.;;;","01/Mar/19 11:00 AM;swetharepakula;https://gerrit.hyperledger.org/r/#/c/29731/;;;",,,,,,,,,,,,,,,,,,,
Update Contributions with new Github PR process,FABCE-107,42448,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,swetharepakula,swetharepakula,21/Sep/19 4:36 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,01/Oct/19 2:48 AM,,0,,,"Once fabric-chaincode-evm has moved to using github, the Contributions section in the README needs to be updated with new directions on submitting a PR.",,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i010lv:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"25/Sep/19 2:19 AM;swetharepakula;[https://github.com/hyperledger/fabric-chaincode-evm/pull/9];;;",,,,,,,,,,,,,,,,,,,,,
Improve Documentation about the EVM,FABCE-108,38475,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,swetharepakula,swetharepakula,15/Mar/19 4:57 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,09/Apr/19 12:58 PM,,0,,,"The explanations of the fabric-chaincode-evm are focused towards an audience that is already familiar with Fabric and Ethereum. The documentation needs to be improved so users can understand the end to end and how all the components come together. As part of this, include a diagram that shows the overall picture and components that occur. The goal is to show the following workflow and see that the web3 client and the ethereum contract can be migrated from Ethereum.
 web3 client -> fab3 proxy -> fabric peer -> evm chaincode -> burrow evm -> ethereum contract

This links to the powerpoint used for the fabric-chaincode-evm playback that has architecture diagrams that can be used: 
 [https://drive.google.com/file/d/1-ksk98p8h0GKhxgRtTYALMiZll4lz1Hx/view?usp=sharing]

 ",,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00g5z:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"05/Apr/19 6:45 AM;swetharepakula;[https://gerrit.hyperledger.org/r/#/c/30748/];;;",,,,,,,,,,,,,,,,,,,,,
Combine Web3 and Fab3 integration tests into one suite,FABCE-109,37719,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Low,Done,,swetharepakula,swetharepakula,16/Feb/19 3:48 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,20/Feb/19 12:20 AM,,0,,,Web3 and Fab3 require the same setup. With the refactor of the Fab3 integration tests we can run the web3 as a part of that suite. Combine the suite so we reduce the number of times we need to create a new network.,,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00c13:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"16/Feb/19 3:50 AM;swetharepakula;https://gerrit.hyperledger.org/r/29332;;;",,,,,,,,,,,,,,,,,,,,,
Maintain a Counterfeiter versioning,FABCE-110,37390,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,MHBauer,swetharepakula,swetharepakula,02/Feb/19 4:11 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,29/Mar/19 1:58 AM,,0,,,"We should either add counterfeiter as a vendored dependency so that all developers who need to create new mocks will be using the same version. Different versions of counterfeiter causes larger changes in mocks that are unnecessary.

 

Another option could be have it as a tool dependency and add it to the Readme, similar to how we have a dependency on dep 0.4.1",,MHBauer,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,Automated,,Unset,No,,,"1|i00abz:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Pass,,Unset,,(Please add usage information),MHBauer,swetharepakula,,,,,,,,,,,,,,,"05/Feb/19 10:22 AM;MHBauer;https://gerrit.hyperledger.org/r/29134;;;","05/Feb/19 10:42 AM;MHBauer;that change vendors it. the other option is to manually clone and checkout the way dep does.

 

our makefile does not follow some of the conventions that appear in the tools makefile.;;;","16/Feb/19 3:56 AM;MHBauer;[https://gerrit.hyperledger.org/r/#/c/29134/] merged;;;",,,,,,,,,,,,,,,,,,,
Check that proxy server is up before sending requests ,FABCE-111,37780,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,swetharepakula,swetharepakula,19/Feb/19 7:14 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,22/Feb/19 1:11 PM,,0,,,"In the fab3 tests, before using fab3 we should test to see that the proxies are up beforehand.

 

We can move this [https://github.com/hyperledger/fabric-chaincode-evm/blob/master/fab3/fab3_test.go#L60-L64] to the helpers package. The function however is currently testing golang:80. It should be testing the proxy address.",,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00ccf:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"19/Feb/19 8:58 AM;swetharepakula;https://gerrit.hyperledger.org/r/#/c/29370/;;;",,,,,,,,,,,,,,,,,,,,,
Only install gotools necessary,FABCE-112,37698,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Low,Done,,swetharepakula,swetharepakula,15/Feb/19 1:59 PM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,21/Feb/19 3:30 PM,,0,,,"When running basic checks, all the gotools in the makefile are installed. Let's install only the gotools needed for basic-checks. This will reduce the number of things installed in CI",,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00bx3:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"16/Feb/19 3:47 AM;swetharepakula;https://gerrit.hyperledger.org/r/#/c/29322/;;;",,,,,,,,,,,,,,,,,,,,,
Use simpler network for integration tests,FABCE-113,37856,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,swetharepakula,swetharepakula,21/Feb/19 3:15 PM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,22/Feb/19 1:30 PM,,0,,,Create a new network config that only has 1 peer per org and update the integration tests to use this new network. This will reduce the compilation time required to bring up each chaincode container.,,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00cr3:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Integration Test,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"21/Feb/19 3:21 PM;swetharepakula;https://gerrit.hyperledger.org/r/#/c/29434/;;;",,,,,,,,,,,,,,,,,,,,,
"as a developer, I want to see debug logs when a test fails",FABCE-114,37394,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Lowest,Done,MHBauer,MHBauer,MHBauer,02/Feb/19 5:26 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,29/Mar/19 2:02 AM,,0,,,the logging done by the component during the test should go to the ginkgowriter.,,MHBauer,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00acv:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),MHBauer,swetharepakula,,,,,,,,,,,,,,,"29/Mar/19 2:02 AM;swetharepakula;[https://gerrit.hyperledger.org/r/#/c/29109/];;;",,,,,,,,,,,,,,,,,,,,,
Update Mocks,FABCE-115,39156,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Lowest,Done,,swetharepakula,swetharepakula,09/Apr/19 4:27 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,13/Apr/19 3:46 AM,,0,,,"Update the mocks so that they match version of counterfeiter that is in the makefile.

Almost all of the mocks should have already been update, there may be one or two left.",,MHBauer,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00k3j:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),MHBauer,swetharepakula,,,,,,,,,,,,,,,"12/Apr/19 3:53 AM;MHBauer;https://gerrit.hyperledger.org/r/#/c/30906/;;;",,,,,,,,,,,,,,,,,,,,,
initial commit,FABCE-116,24435,21791,Sub-task,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,eramitg,ChristopherFerris,ChristopherFerris,23/Nov/17 12:59 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,01/Dec/17 2:26 AM,,0,,,"add MAINTAINERS.md, CONTRIBUTING.md and LICENSE",,ChristopherFerris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzynzj:",,,,,,,,,,,,,,,,,,,ChristopherFerris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add EVM implementation of core/chaincode/platforms/platform interface,FABCE-117,26818,21791,Sub-task,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Invalid,guoger,guoger,guoger,16/Jan/18 10:41 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,20/Jul/18 11:05 PM,,0,,,Add a new platform type `evm` so that user could install an EVM chaincode via fabric peer CLI,,guoger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzytgf:",,,,,,,,,,,,,,,,,,,guoger,,,,,,,,,,,,,,,,"30/Jan/18 7:18 PM;guoger;https://gerrit.hyperledger.org/r/17323;;;",,,,,,,,,,,,,,,,,,,,,
Implement EVM chaincode as a system chaincode plugin,FABCE-118,26819,21791,Sub-task,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,guoger,guoger,guoger,16/Jan/18 10:49 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,27/Apr/18 1:51 AM,,0,,,"An EVM chaincode is essentially a system chaincode written in Go, that wraps Burrow EVM implementation. It accomplishes following:

install:
- feed _deploy bytecode_ into Burrow evm
- store produced _runtime bytecode_ into {{evmscc}} ledger, with generated address being the key

invoke:
- look up the _runtime bytecode_ with contract address
- args and bytecode are input of Burrow evm
- return the output of evm execution

{{INIT}} in {{evmscc}} is a no-op, as this doesn't fit into Ethereum model very well.

This would require Golang 1.10 to support {{plugin}} on Linux/OSX",,guoger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzytgn:",,,,,,,,,,,,,,,,,,,guoger,,,,,,,,,,,,,,,,"30/Jan/18 7:20 PM;guoger;https://gerrit.hyperledger.org/r/#/c/20961/;;;",,,,,,,,,,,,,,,,,,,,,
Implement Burrow state interfaces,FABCE-119,26836,21791,Sub-task,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,guoger,guoger,16/Jan/18 11:00 PM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,26/Apr/18 2:23 PM,,0,,,"Implement all interfaces in account/state.go, which are used by Burrow EVM to interact with ledger",,guoger,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzytiv:",,,,,,,,,,,,,,,,,,,guoger,swetharepakula,,,,,,,,,,,,,,,"02/Mar/18 11:36 AM;swetharepakula;https://gerrit.hyperledger.org/r/c/18667/;;;",,,,,,,,,,,,,,,,,,,,,
handle evm contract deployment,FABCE-120,26837,21791,Sub-task,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Invalid,guoger,guoger,guoger,16/Jan/18 11:08 PM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,20/Jul/18 11:05 PM,,0,,,"When an EVM chaincode is instantiated, we should reroute {{init}} call to {{evmscc}}, instead of following [common path|https://github.com/hyperledger/fabric/blob/master/core/endorser/endorser.go#L143], which builds the chaincode and spawn the container.",,guoger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzytj3:",,,,,,,,,,,,,,,,,,,guoger,,,,,,,,,,,,,,,,"30/Jan/18 7:21 PM;guoger;https://gerrit.hyperledger.org/r/#/c/17329/;;;",,,,,,,,,,,,,,,,,,,,,
Add an e2e test for evm chaincode,FABCE-121,26838,21791,Sub-task,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,guoger,guoger,guoger,16/Jan/18 11:11 PM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,27/Apr/18 1:50 AM,,0,,,,,guoger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzytjb:",,,,,,,,,,,,,,,,,,,guoger,,,,,,,,,,,,,,,,"30/Jan/18 7:21 PM;guoger;https://gerrit.hyperledger.org/r/#/c/20965/;;;",,,,,,,,,,,,,,,,,,,,,
Create a voting DApp on both Ethereum and Fabric,FABCE-122,27054,21791,Sub-task,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,guoger,guoger,guoger,25/Jan/18 3:50 PM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,22/May/18 10:05 PM,,0,,,"To demonstrate the capabilities of evm chaincode, and the whole concept of running a DApp built for Ethereum (public chain) in Fabric (consortium chain), we need to come up with a DApp example that actually works with Ethereum network, and show how to migrate it to Fabric.

The outcome of this task could be a whitepaper/document/tutorial, and sample code.",,guoger,TiantianGao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyuif:",,,,,,,,,,,,,,,,,,,guoger,TiantianGao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
create plugin makefile to generate .so for linux to be used with Docker,FABCE-123,28131,21791,Sub-task,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,guoger,guoger,guoger,01/Mar/18 3:33 PM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,27/Apr/18 1:51 AM,,0,,,"we need to create a makefile to produce fabric-chaincode-evm plugin .so targeting Linux.

Also, we need to add GO_TAG {{pluginsenabled}} in Fabric, as well as adding build tags to {{register_plugins.go}} so that it will get compiled on Darwin/Go1.10",,guoger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyzev:",,,,,,,,,,,,,,,,,,,guoger,,,,,,,,,,,,,,,,"25/Apr/18 1:51 AM;guoger;https://gerrit.hyperledger.org/r/#/c/20963/;;;",,,,,,,,,,,,,,,,,,,,,
add supports in Fabric for scc plugins,FABCE-124,28785,21791,Sub-task,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Invalid,guoger,guoger,guoger,23/Mar/18 3:32 PM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,20/Jul/18 11:05 PM,,0,,,"We need something like
{code}
PLUGINSENABLED ?= false
ifeq ($(PLUGINSENABLED),true)
GO_TAGS += pluginsenabled
endif
{code}
in the Makefile of Fabric in order to build {{peer}} with plugin supports

Also, evm chaincode depends on {{libldtl}}, which should be installed in peer image as well",,guoger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz2qv:",,,,,,,,,,,,,,,,,,,guoger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
